author_name,author_desc,tweet,language
jn O,wanna see nirvana but don't wanna die.,what charcoal powder do you use and what do you use with it? (Like apple cider vinegar with the Aztec mask)? @theAshLeon,en
sam,ba(e)con,ty @Apple https://t.co/BWtVVwLT8l,und
Helen Ong,The world is blue at its edges and in its depths,"Cant believe Tim Cook had2 poach someone fr TimeWarner - I know what TW can't do, having been a customer4 yrs. $AAPL https://t.co/zgM5vtdlxf",en
Alyssa Ladzinski,"If this isn't nice, I don't know what is.",Is it wrong of me to put apple butter on my apple? Don't care.,en
Patricia M,,Would it kill apple to make an emoji with curly hair???,en
Matt - Pennyz,"Part time YouTuber, Mostly Twitch streamer, Follow My Twitch which you will find in the description of my YouTube down there... :3","@Apple @AppleSupport oh! And the way that it pops up on the screen, also not too great",en
Hailey Peterson,Arizona State University '18,I feel naked without my Apple Watch,en
Nathan Kasmanoff,,@MKBHD but also turn the screen on like moto z wow apple needs to hire me,en
Azia,,"RT @FemalePains: idc, Apple could never ever top the iconic iOS 7 update https://t.co/D8azo5XCF9",en
Workout Upperbody,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a health fan, so I suggest you to try my iOS app, it's called ""mytraining"" on Apple https://t.co/Ue7KuPOmJH",en
World kNews,Real Time news for the newsy! Frequent updates! Never miss a breaking headline again! See articles from every perspective. Categorized for you.,"#Apple hires former Time Warner Cable exec Peter Stern as VP of cloud services, will report to Eddy Cue https://t.co/jtSCWNHh6l",en
krystal v,Internet Marketer Web enthusiast!,Brand New Black Bose QuietComfort 25 QC25 Noise Cancelling Headphones - Apple https://t.co/FtgrmGypoL,en
Gym Bigger,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I checked that you're a health fan, so I suggest you to see my new app, it's called MyTraining on Apple https://t.co/8AIXfhHlKY",en
Workout Triceps,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I noticed that u are a fitness admirer, so I suggest u to test my new app, it's called MyTraining on Apple https://t.co/LHBUL6w6E8",en
Mo Betta,where ever i go. i be at!!!,"https://t.co/qpwnrzqTgg

#interesting",und
